iter	Passed	Remaining
631	1060	617
632	1062	615
633	1063	614
634	1065	612
635	1067	610
636	1068	609
637	1070	607
638	1072	605
639	1073	604
640	1075	602
641	1076	600
642	1078	598
643	1080	597
644	1081	595
645	1083	593
646	1084	591
647	1086	590
648	1088	588
649	1090	587
650	1091	585
651	1093	583
652	1094	581
653	1096	580
654	1098	578
655	1099	576
656	1100	574
657	1102	572
658	1104	571
659	1105	569
660	1107	567
661	1109	566
662	1110	564
663	1112	562
664	1113	561
665	1115	559
666	1117	557
667	1118	556
668	1120	554
669	1122	552
670	1123	550
671	1124	549
672	1126	547
673	1128	545
674	1130	544
675	1131	542
676	1133	540
677	1134	539
678	1136	537
679	1138	535
680	1139	534
681	1141	532
682	1143	530
683	1144	528
684	1146	527
685	1147	525
686	1149	523
687	1151	522
688	1153	520
689	1154	518
690	1156	517
691	1157	515
692	1159	513
693	1161	512
694	1163	510
695	1164	508
696	1166	506
697	1167	505
698	1169	503
699	1170	501
700	1172	500
701	1174	498
702	1175	496
703	1177	495
704	1179	493
705	1181	491
706	1182	490
707	1184	488
708	1186	487
709	1189	485
710	1191	484
711	1192	482
712	1194	480
713	1196	479
714	1197	477
715	1199	475
716	1201	474
717	1203	472
718	1204	470
719	1206	469
720	1207	467
721	1209	465
722	1211	463
723	1212	462
724	1214	460
725	1215	458
726	1217	457
727	1218	455
728	1221	453
729	1222	452
730	1224	450
731	1225	448
732	1227	447
733	1228	445
734	1230	443
735	1232	442
736	1233	440
737	1235	438
738	1237	436
739	1238	435
740	1240	433
741	1242	432
742	1244	430
743	1245	428
744	1247	427
745	1249	425
746	1250	423
747	1252	421
748	1254	420
749	1255	418
750	1257	416
751	1259	415
752	1260	413
753	1261	411
754	1263	410
755	1265	408
756	1266	406
757	1268	404
758	1270	403
759	1271	401
760	1273	399
761	1274	398
762	1276	396
763	1277	394
764	1279	393
765	1281	391
766	1283	389
767	1285	388
768	1286	386
769	1288	384
770	1290	383
771	1291	381
772	1293	379
773	1294	378
774	1296	376
775	1297	374
776	1299	372
777	1301	371
778	1303	369
779	1304	367
780	1306	366
781	1307	364
782	1309	362
783	1310	361
784	1312	359
785	1313	357
786	1315	356
787	1317	354
788	1319	352
789	1321	351
790	1322	349
791	1324	347
792	1325	346
793	1327	344
794	1328	342
795	1330	340
796	1332	339
797	1333	337
798	1335	335
799	1337	334
800	1338	332
801	1340	330
802	1342	329
803	1343	327
804	1345	325
805	1346	324
806	1348	322
807	1350	320
808	1351	319
809	1353	317
810	1355	315
811	1356	314
812	1358	312
813	1359	310
814	1361	308
815	1362	307
816	1364	305
817	1366	303
818	1367	302
819	1369	300
820	1370	298
821	1372	297
822	1373	295
823	1374	293
824	1376	292
825	1378	290
826	1379	288
827	1381	286
828	1382	285
829	1384	283
830	1386	281
831	1387	280
832	1389	278
833	1390	276
834	1392	275
835	1394	273
836	1395	271
837	1397	270
838	1399	268
839	1400	266
840	1402	265
841	1403	263
842	1405	261
843	1407	260
844	1408	258
845	1410	256
846	1412	255
847	1414	253
848	1415	251
849	1417	250
850	1419	248
851	1420	246
852	1422	245
853	1423	243
854	1425	241
855	1426	240
856	1428	238
857	1429	236
858	1431	234
859	1433	233
860	1434	231
861	1436	229
862	1437	228
863	1439	226
864	1441	224
865	1442	223
866	1444	221
867	1446	219
868	1447	218
869	1449	216
870	1451	214
871	1452	213
872	1454	211
873	1455	209
874	1457	208
875	1458	206
876	1460	204
877	1461	203
878	1463	201
879	1464	199
880	1466	198
881	1467	196
882	1469	194
883	1470	193
884	1472	191
885	1473	189
886	1475	187
887	1477	186
888	1478	184
889	1480	182
890	1482	181
891	1483	179
892	1485	178
893	1487	176
894	1489	174
895	1490	173
896	1492	171
897	1493	169
898	1495	168
899	1497	166
900	1498	164
901	1500	163
902	1502	161
903	1503	159
904	1505	158
905	1506	156
906	1508	154
907	1510	153
908	1511	151
909	1513	149
910	1515	148
911	1516	146
912	1518	144
913	1519	142
914	1521	141
915	1523	139
916	1524	137
917	1526	136
918	1527	134
919	1529	132
920	1530	131
921	1532	129
922	1534	127
923	1535	126
924	1537	124
925	1538	122
926	1540	121
927	1541	119
928	1543	117
929	1544	116
930	1546	114
931	1548	112
932	1549	111
933	1551	109
934	1553	108
935	1555	106
936	1556	104
937	1558	103
938	1560	101
939	1561	99
940	1563	98
941	1564	96
942	1566	94
943	1567	93
944	1569	91
945	1571	89
946	1572	88
947	1574	86
948	1576	84
949	1578	83
950	1579	81
951	1581	79
952	1583	78
953	1584	76
954	1586	74
955	1588	73
956	1589	71
957	1591	69
958	1593	68
959	1594	66
960	1596	64
961	1597	63
962	1599	61
963	1601	59
964	1603	58
965	1604	56
966	1606	54
967	1607	53
968	1609	51
969	1611	49
970	1612	48
971	1614	46
972	1615	44
973	1617	43
974	1619	41
975	1621	39
976	1623	38
977	1624	36
978	1626	34
979	1627	33
980	1629	31
981	1631	29
982	1633	28
983	1634	26
984	1636	24
985	1637	23
986	1639	21
987	1640	19
988	1641	18
989	1643	16
990	1645	14
991	1647	13
992	1649	11
993	1650	9
994	1651	8
995	1653	6
996	1654	4
997	1655	3
998	1657	1
999	1659	0
