,geo_id,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
671,92399,1499.5,1486.25,1460.8333333333333,1492.8333333333333,1526.5,1615.75,1674.0,1726.25,1780.25,1809.75,1833.0
672,92882,1858.25,1863.5833333333333,1825.6666666666667,1874.5833333333333,1933.8333333333333,2012.0,2110.0833333333335,2182.5833333333335,2222.0833333333335,2255.75,2316.0
710,93308,1383.0,953.5714285714286,967.0833333333334,1024.8333333333333,1024.0,1056.4166666666667,1076.0833333333333,1088.8333333333333,1100.5833333333333,1120.6666666666667,1173.0
711,95008,2266.75,2299.4166666666665,2441.75,2573.5833333333335,2864.4545454545455,3323.8333333333335,3431.0833333333335,3309.6666666666665,3346.5833333333335,3377.5,3374.0
718,92656,1932.75,2037.0833333333333,2135.3333333333335,2152.75,2295.4166666666665,2394.5,2500.6666666666665,2560.25,2623.5833333333335,2637.5,2626.0
719,92056,1746.5,1702.6666666666667,1704.75,1714.8333333333333,1776.1666666666667,1872.0,1979.9166666666667,2065.0,2160.75,2269.9166666666665,2329.0
727,92704,1859.5,1882.5833333333333,1924.1666666666667,1983.6666666666667,2109.4166666666665,2301.0,2370.1666666666665,2403.0833333333335,2435.9166666666665,2502.181818181818,2504.0
731,92071,1813.25,1814.5,1828.25,1869.5,1910.1666666666667,2004.75,2105.8333333333335,2185.0,2252.25,2306.8333333333335,2369.0
734,92626,2107.5,2086.5,2119.0833333333335,2168.6666666666665,2318.1666666666665,2515.8333333333335,2571.0833333333335,2600.8333333333335,2672.75,2706.75,2685.0
743,95350,1236.6666666666667,1079.5454545454545,1074.3333333333333,1094.6666666666667,1128.8333333333333,1209.1666666666667,1301.0833333333333,1377.75,1437.5833333333333,1477.25,1494.0
745,95624,1275.75,1277.1666666666667,1287.5,1320.5833333333333,1366.25,1459.1666666666667,1579.0833333333333,1662.0833333333333,1719.5,1790.75,1808.0
755,92509,1439.0,1510.0,1483.1666666666667,1553.0,1614.8333333333333,1706.75,1758.3333333333333,1830.5,1905.8333333333333,2020.3333333333333,2089.0
760,92024,2809.0,2594.8333333333335,2503.4166666666665,2618.4166666666665,2800.0833333333335,3014.3333333333335,3038.75,3123.5,3083.8333333333335,3230.25,3231.0
761,92553,1338.5,1355.0,1356.0,1385.5,1437.8333333333333,1519.5833333333333,1588.0833333333333,1629.5833333333333,1667.75,1717.5833333333333,1765.0
777,92880,1839.25,1878.5833333333333,1779.5833333333333,1864.6666666666667,1949.5833333333333,2061.5833333333335,2158.25,2166.9166666666665,2213.5,2251.3333333333335,2293.0
779,92253,2101.0,2442.909090909091,2167.0,2063.8333333333335,2122.0,2220.1428571428573,2153.0833333333335,2211.5833333333335,2358.5833333333335,2581.5454545454545,2546.0
780,90006,1881.6666666666667,1910.75,1876.6666666666667,1989.4166666666667,2078.4166666666665,2285.75,2415.9166666666665,2558.0,2544.75,2548.9166666666665,2537.0
797,92223,1372.25,1456.6666666666667,1412.9166666666667,1468.6666666666667,1534.9166666666667,1615.5833333333333,1649.75,1673.0,1690.6666666666667,1715.5,1752.0
807,95020,1792.0,1780.8333333333333,1941.8333333333333,2041.0833333333333,2200.75,2602.8333333333335,2766.5833333333335,2778.25,2797.3333333333335,2820.4166666666665,2838.0
823,90255,1868.25,1775.8333333333333,1784.0833333333333,1846.4166666666667,1908.4166666666667,2141.9166666666665,2241.4166666666665,2334.25,2329.25,2306.6666666666665,2329.0
826,90028,1900.75,1936.5,1919.0833333333333,2007.9166666666667,2106.1666666666665,2307.75,2453.181818181818,2600.8333333333335,2594.6666666666665,2729.3333333333335,2749.0
828,94115,3418.25,3384.4166666666665,3634.75,3932.8333333333335,4405.666666666667,4894.75,4902.5,4629.083333333333,4614.75,4693.916666666667,4644.0
829,92234,1631.0,1782.1666666666667,1552.0833333333333,1563.75,1672.8333333333333,1712.0833333333333,1737.6666666666667,1751.6666666666667,1846.75,2018.0,2038.0
831,93003,1932.75,1915.8333333333333,1942.0,2062.5,2153.5833333333335,2294.3333333333335,2333.4166666666665,2375.1666666666665,2467.9166666666665,2537.0833333333335,2578.0
833,91786,1867.5,1843.5,1776.3333333333333,1830.4166666666667,1852.5,1979.1666666666667,2088.6666666666665,2151.5,2216.25,2242.5833333333335,2259.0
855,93312,1528.0,1133.857142857143,1077.4166666666667,1226.0,1160.4285714285713,1278.4166666666667,1298.75,1321.5833333333333,1340.5833333333333,1409.0,1464.0
868,90024,3687.75,3737.25,3795.4166666666665,3777.6666666666665,4002.5833333333335,4271.333333333333,4474.833333333333,4367.416666666667,4212.666666666667,4278.916666666667,4270.0
873,92057,1828.25,1725.1666666666667,1724.3333333333333,1771.0833333333333,1806.3333333333333,1895.6666666666667,2024.5,2078.5,2159.1666666666665,2242.5,2308.0
921,92708,2063.0,2054.6666666666665,2050.1666666666665,2108.8333333333335,2201.9166666666665,2344.25,2381.4166666666665,2379.0833333333335,2432.0,2502.5,2514.0
924,93063,2021.0,2057.9166666666665,2116.0,2187.0,2237.3333333333335,2346.5,2407.25,2464.1666666666665,2512.8333333333335,2574.4166666666665,2582.0
926,92103,2287.0,2214.0,2180.1666666666665,2238.9166666666665,2369.6666666666665,2503.9166666666665,2587.1666666666665,2610.4166666666665,2657.5,2755.5833333333335,2777.0
937,93277,1395.75,1338.3333333333333,1311.75,1231.0833333333333,1182.3333333333333,1194.75,1217.25,1237.0833333333333,1236.75,1246.9166666666667,1293.0
959,93720,1483.5,1226.875,1174.4166666666667,1260.0,1248.0833333333333,1301.8333333333333,1370.8333333333333,1428.1666666666667,1480.5833333333333,1519.75,1553.0
960,91402,2014.5,1959.75,1962.0833333333333,2044.75,2077.0,2206.5833333333335,2327.4166666666665,2410.25,2497.5833333333335,2517.5,2572.0
969,94117,3341.0,3305.9166666666665,3641.5,3892.8333333333335,4366.166666666667,4803.583333333333,4855.916666666667,4578.083333333333,4462.916666666667,4495.666666666667,4417.0
980,91977,1790.0,1719.3333333333333,1747.6666666666667,1796.3333333333333,1838.5833333333333,1939.1666666666667,2040.75,2091.4166666666665,2156.3333333333335,2260.75,2328.0
983,92507,1476.0,1525.4166666666667,1509.9166666666667,1555.6666666666667,1603.75,1694.4166666666667,1756.0,1835.4166666666667,1888.9166666666667,1994.0,2060.0
991,92037,3539.5,3332.1666666666665,3170.9166666666665,3258.8333333333335,3365.25,3580.4166666666665,3615.9166666666665,3616.25,3668.0833333333335,3899.4166666666665,3919.0
992,91367,2304.0,2331.75,2313.75,2389.0,2493.25,2644.0,2809.3333333333335,2845.6666666666665,2874.5,2940.5833333333335,2946.0
995,94102,2776.75,2585.090909090909,2718.1666666666665,3128.3636363636365,3526.5,3783.75,3808.75,3595.5,3566.1666666666665,3691.8333333333335,3695.0
997,92346,1418.25,1444.5833333333333,1443.8333333333333,1481.75,1522.5833333333333,1582.4166666666667,1661.8333333333333,1700.4166666666667,1750.25,1804.9166666666667,1833.0
1000,95207,1346.6666666666667,1243.25,1239.6666666666667,1285.4166666666667,1342.0,1399.4166666666667,1459.75,1509.8333333333333,1521.5833333333333,1563.1666666666667,1630.0
1003,95831,1424.3333333333333,1349.8333333333333,1316.5833333333333,1338.25,1385.3333333333333,1490.0,1607.5,1708.0,1763.5833333333333,1829.0,1859.0
1005,96003,1318.75,1219.875,1105.1666666666667,1101.3636363636363,1168.9166666666667,1283.0833333333333,1288.6666666666667,1321.9166666666667,1346.8333333333333,1451.6363636363637,1431.0
1009,93436,1354.0,1393.5454545454545,1288.9166666666667,1325.0,1346.4,1533.8333333333333,1603.6666666666667,1656.5833333333333,1684.3333333333333,1743.0833333333333,1836.0
1014,94121,3312.0,2997.1,3106.0833333333335,3228.3333333333335,3714.3333333333335,4187.5,4244.416666666667,4072.1666666666665,4026.0833333333335,4022.75,4000.0
1024,95828,1227.0,1231.4166666666667,1218.8333333333333,1248.25,1282.8333333333333,1339.6666666666667,1411.9166666666667,1484.5,1553.9166666666667,1597.5833333333333,1632.0
1025,95616,1744.5,1616.0,1612.6666666666667,1648.75,1659.3333333333333,1722.8333333333333,1970.6666666666667,2101.25,2217.4166666666665,2299.3333333333335,2265.0
1026,91406,2233.25,2160.6666666666665,2171.3333333333335,2194.6666666666665,2238.5,2397.25,2517.5833333333335,2593.8333333333335,2627.0,2552.4166666666665,2548.0
1028,93291,1304.25,1271.25,1236.5833333333333,1142.25,1085.0833333333333,1085.3333333333333,1100.1666666666667,1158.1666666666667,1151.9166666666667,1176.6666666666667,1249.0
1032,90049,4008.75,3973.5833333333335,4015.1666666666665,3982.6666666666665,4158.416666666667,4504.166666666667,4707.5,4582.166666666667,4500.416666666667,4464.083333333333,4348.0
